AA	ɑ
AA0	ɑ
AA1	ɑ́
AA2	ɑ̀
AE	æ
AE0	æ
AE1	ǽ
AE2	æ̀
AH	ʌ
AH0	ə
AH1	ʌ́
AH2	ʌ̀
AO	ɔ
AO0	ɔ
AO1	ɔ́
AO2	ɔ̀
AW	aʊ
AW0	aʊ
AW1	áʊ
AW2	àʊ
AY	aɪ
AY0	aɪ
AY1	áɪ
AY2	àɪ
B	b
CH	tʃ
D	d
DH	ð
EH	e
EH0	e
EH1	é
EH2	è
ER	ɜr
ER0	ɜr
ER1	ɜ́r
ER2	ɜ̀r
EY	eɪ
EY0	eɪ
EY1	éɪ
EY2	èɪ
F	f
G	g
HH	h
IH	ɪ
IH0	ɪ
IH1	ɪ́
IH2	ɪ̀
IY	i
IY0	i
IY1	í
IY2	ì
JH	dʒ
K	k
L	l
M	m
N	n
NG	ŋ
OW	oʊ
OW0	oʊ
OW1	óʊ
OW2	òʊ
OY	ɔɪ
OY0	ɔɪ
OY1	ɔ́ɪ
OY2	ɔ̀ɪ
P	p
R	r
S	s
SH	ʃ
T	t
TH	θ
UH	ʊ
UH0	ʊ
UH1	ʊ́
UH2	ʊ̀
UW	u
UW0	u
UW1	ú
UW2	ù
V	v
W	w
Y	j
Z	z
ZH	ʒ
